origin,destination,distance_km,total_time_min,total_fare,traffic,congestion
Kashmere Gate,Rajiv Chowk,14.1,27.0,19.2,0.91,0.66
Rajiv Chowk,Kashmere Gate,14.1,27.0,19.2,0.91,0.66
Kashmere Gate,Central Secretariat,7.8,18.7,14.7,0.6,0.52
Central Secretariat,Kashmere Gate,7.8,18.7,14.7,0.6,0.52
Kashmere Gate,Hauz Khas,7.1,13.1,15.8,0.47,0.86
Hauz Khas,Kashmere Gate,7.1,13.1,15.8,0.47,0.86
Kashmere Gate,Saket,1.5,3.3,3.4,0.01,0.73
Saket,Kashmere Gate,1.5,3.3,3.4,0.01,0.73
Kashmere Gate,Qutub Minar,3.6,7.4,8.9,0.5,0.14
Qutub Minar,Kashmere Gate,3.6,7.4,8.9,0.5,0.14
Kashmere Gate,Chhatarpur,22.7,40.7,52.3,0.68,0.8
Chhatarpur,Kashmere Gate,22.7,40.7,52.3,0.68,0.8
Kashmere Gate,AIIMS,19.5,35.8,40.5,0.05,0.34
AIIMS,Kashmere Gate,19.5,35.8,40.5,0.05,0.34
Kashmere Gate,Dhaula Kuan,8.6,15.2,12.5,0.77,0.89
Dhaula Kuan,Kashmere Gate,8.6,15.2,12.5,0.77,0.89
Kashmere Gate,Dwarka Sec 21,24.2,58.6,30.2,0.53,0.84
Dwarka Sec 21,Kashmere Gate,24.2,58.6,30.2,0.53,0.84
Kashmere Gate,Noida City Centre,0.9,1.6,1.2,0.86,0.98
Noida City Centre,Kashmere Gate,0.9,1.6,1.2,0.86,0.98
Kashmere Gate,Botanical Garden,3.1,5.9,3.9,0.74,0.86
Botanical Garden,Kashmere Gate,3.1,5.9,3.9,0.74,0.86
Kashmere Gate,Vaishali,13.6,23.6,25.2,0.24,0.6
Vaishali,Kashmere Gate,13.6,23.6,25.2,0.24,0.6
Kashmere Gate,Anand Vihar,13.6,22.6,25.6,0.77,0.69
Anand Vihar,Kashmere Gate,13.6,22.6,25.6,0.77,0.69
Kashmere Gate,Laxmi Nagar,6.0,14.3,8.8,0.74,0.87
Laxmi Nagar,Kashmere Gate,6.0,14.3,8.8,0.74,0.87
Kashmere Gate,Mayur Vihar,24.1,50.2,47.1,0.2,0.82
Mayur Vihar,Kashmere Gate,24.1,50.2,47.1,0.2,0.82
Kashmere Gate,Yamuna Bank,6.8,14.2,12.5,0.38,0.95
Yamuna Bank,Kashmere Gate,6.8,14.2,12.5,0.38,0.95
Kashmere Gate,New Ashok Nagar,14.9,22.5,19.6,0.91,0.11
New Ashok Nagar,Kashmere Gate,14.9,22.5,19.6,0.91,0.11
Kashmere Gate,Mandi House,14.2,22.4,25.6,0.44,0.65
Mandi House,Kashmere Gate,14.2,22.4,25.6,0.44,0.65
Kashmere Gate,Pragati Maidan,17.7,39.3,32.9,0.58,0.13
Pragati Maidan,Kashmere Gate,17.7,39.3,32.9,0.58,0.13
Kashmere Gate,Inderlok,6.0,10.9,14.2,0.99,0.57
Inderlok,Kashmere Gate,6.0,10.9,14.2,0.99,0.57
Kashmere Gate,Netaji Subhash Place,13.0,25.1,27.8,0.95,0.73
Netaji Subhash Place,Kashmere Gate,13.0,25.1,27.8,0.95,0.73
Kashmere Gate,Punjabi Bagh West,13.7,32.8,31.6,0.5,0.79
Punjabi Bagh West,Kashmere Gate,13.7,32.8,31.6,0.5,0.79
