user_id,pickup_location,dropoff_location,request_time,available_seats,ride_status,organization,carpooling_preference
e8a056c5-71a5-4c88-a0f4-d32d92360c2e,"Irwin Mission, Delhi","Sloan Fords, Delhi",2025-02-14 05:34:36,4,Cancelled,Amazon,Yes
9e206e2f-da36-44c1-9633-14cc2c7dfb67,"Stephanie Street, Delhi","Jasmin Highway, Delhi",2025-02-01 03:02:38,1,Completed,TCS,No
8b131c19-179b-4202-97b5-f76e82475c0f,"Escobar Ports, Delhi","Baker Stream, Delhi",2025-02-02 09:03:32,2,Cancelled,Microsoft,Yes
032803a4-f393-4a74-9c77-f5ae4a7e9238,"Lindsay Knolls, Delhi","Gross Views, Delhi",2025-02-03 20:13:15,3,Completed,None,No
dde19e90-de22-42a9-b45a-dcb076432504,"Farley Ridges, Delhi","Thompson Land, Delhi",2025-02-15 12:02:27,1,Cancelled,Amazon,Yes
1042f985-1a8d-4b6e-adef-ff5f90c2e91b,"Patricia Road, Delhi","Moore Inlet, Delhi",2025-02-05 20:35:08,2,Ongoing,Google,No
7b89ed03-a115-4f99-bf17-9e096e3ef9cd,"Cordova Turnpike, Delhi","Perry Terrace, Delhi",2025-02-11 08:54:13,1,Completed,Amazon,No
f69365a1-79d9-4807-ba16-237b80beb7bb,"Green Pass, Delhi","Rachel Plains, Delhi",2025-02-02 16:20:03,4,Completed,Microsoft,Yes
3aa35c3b-15ee-4880-810f-bdd6a594b917,"Katherine Ferry, Delhi","Tucker Track, Delhi",2025-02-06 01:10:11,3,Ongoing,TCS,No
d0204416-6e90-42e7-adb9-7c26025c8cfd,"Melanie Plain, Delhi","Lori Port, Delhi",2025-02-14 23:03:24,1,Ongoing,None,No
62be557c-3601-4b00-a895-5bd59510faa9,"Johnson Tunnel, Delhi","Preston Plains, Delhi",2025-02-12 18:33:50,1,Completed,Infosys,Yes
f944d86a-85cf-4cf8-8bb3-8ca2ec1c8e3a,"Mccullough Landing, Delhi","Frazier Views, Delhi",2025-02-08 02:59:30,4,Ongoing,Infosys,Yes
72b272da-b2c3-4b20-84d1-d94dc57a5f86,"Ashley Gateway, Delhi","George Loop, Delhi",2025-02-13 07:28:03,2,Ongoing,Google,Yes
5ccfa20e-f17c-47df-b1a2-0e7ee4cab060,"Nathan Road, Delhi","Patel Courts, Delhi",2025-02-06 21:39:29,1,Completed,Amazon,Yes
dc5c0cdc-78bf-4b84-a608-2762941f75fd,"Gloria Junction, Delhi","Brooks Rapids, Delhi",2025-02-04 03:02:34,4,Cancelled,Microsoft,No
0f7da9b4-c791-4a3b-a677-cec2d7eda6d2,"Moore Parks, Delhi","Anderson Junctions, Delhi",2025-02-03 19:22:36,2,Cancelled,Google,No
0eb8b21b-9b26-4fb4-9d1a-4a2606500693,"Middleton Burgs, Delhi","Bartlett Track, Delhi",2025-02-07 09:17:56,1,Cancelled,None,Yes
e817b38f-2691-4d73-ae0e-f6a73fae6ccd,"Jennifer Ferry, Delhi","Jeffrey Crossroad, Delhi",2025-02-09 06:43:01,2,Cancelled,Google,Yes
f77e5af9-e726-44ca-b27d-35cb10b4e02d,"Fleming Loaf, Delhi","George Locks, Delhi",2025-02-14 15:06:26,3,Ongoing,Infosys,Yes
c6148fab-8a27-42ae-bfa7-a0cec0bd22be,"Carlos Lock, Delhi","Henderson River, Delhi",2025-02-02 18:18:49,4,Ongoing,Microsoft,No
8491ecba-8233-41f9-9f9a-843fa583df08,"Lopez Route, Delhi","Roberts Roads, Delhi",2025-02-01 16:27:32,3,Ongoing,Infosys,No
3d851061-f181-40da-8fb3-7e90fd0754ef,"Carter Mount, Delhi","Krause Street, Delhi",2025-02-09 07:36:21,2,Completed,TCS,No
b8186fbe-1b69-4c35-acef-9c16dad0a43a,"Jade Street, Delhi","Tucker Cliffs, Delhi",2025-02-09 03:40:10,4,Cancelled,Infosys,No
9423d709-337f-4044-a4da-49ef7e796435,"Rhodes Islands, Delhi","Steven Roads, Delhi",2025-02-15 10:26:07,2,Ongoing,Google,No
e12b76c6-20b6-4798-a3d8-5870b5c17a08,"Clark Parks, Delhi","Sharp Estate, Delhi",2025-02-09 22:33:22,1,Ongoing,Google,Yes
726c8bb8-a016-4dcf-8760-f9e326694f38,"Walton Forks, Delhi","Tyler Skyway, Delhi",2025-02-01 22:32:44,2,Completed,TCS,No
9ab1beac-663d-4d6c-b95b-cf8d16a56c04,"Briana Road, Delhi","Jessica Squares, Delhi",2025-02-05 23:30:28,4,Completed,Google,Yes
be6137f6-5e3c-41a5-97bc-5d614a2b6f98,"Rojas Island, Delhi","Briggs Brooks, Delhi",2025-02-09 05:59:35,3,Completed,None,Yes
26db659d-9d38-4883-9455-f314038e87ce,"Martinez Row, Delhi","Richard Stravenue, Delhi",2025-02-13 11:33:31,3,Completed,None,No
c27b4a59-282d-4ba4-8f37-cc5d890410d0,"Michael Haven, Delhi","Miller Harbor, Delhi",2025-02-15 04:13:46,3,Completed,TCS,Yes
d7e9cd48-23d1-4ca2-b73a-ac7516f3005c,"Love Mount, Delhi","Krista Rapid, Delhi",2025-02-14 08:50:25,2,Completed,TCS,Yes
c59186bf-3f63-4aa4-a198-72e11eed3354,"Leslie Motorway, Delhi","Kathy Extensions, Delhi",2025-02-08 15:21:30,1,Ongoing,TCS,Yes
d2195a77-7a61-4cdb-8af0-ecef7fa22d8a,"Smith Lodge, Delhi","Kelly Garden, Delhi",2025-02-11 11:39:51,1,Completed,None,Yes
aefd9438-c029-4fac-99ad-08318d6c5e6a,"Farrell Ridges, Delhi","Angel Harbors, Delhi",2025-02-10 21:30:05,2,Cancelled,Microsoft,No
6f0026f4-b51c-4955-9170-e1b96a1234a1,"Martin Lodge, Delhi","Perez Circles, Delhi",2025-02-06 08:44:43,1,Cancelled,Amazon,No
8fffedf4-8ae4-4c07-886a-fa4d801bd9ec,"Chen Greens, Delhi","Eric Squares, Delhi",2025-02-02 07:00:23,2,Ongoing,Infosys,No
05f73120-8918-4c0d-90a9-b82a61109388,"Sally Meadows, Delhi","Fernandez Loaf, Delhi",2025-02-04 21:00:22,3,Ongoing,None,No
38861edb-a486-4170-8d49-823f8f22ae5f,"Erickson Mountains, Delhi","Stewart Garden, Delhi",2025-02-04 03:17:08,4,Cancelled,Google,Yes
41839580-f60c-41fe-a9ac-b0c3ea3d4f01,"Hawkins Expressway, Delhi","Garrison Flat, Delhi",2025-02-05 17:20:22,1,Completed,Microsoft,No
a94d2cd4-6e56-4bd5-be5f-af0bc4f1e554,"Lauren Course, Delhi","Garcia Loop, Delhi",2025-02-07 14:07:23,4,Ongoing,Microsoft,Yes
e5277a93-294f-4676-b5ff-e5573d0d8e66,"Ortiz Circle, Delhi","Philip Court, Delhi",2025-02-07 03:51:07,4,Ongoing,Amazon,Yes
40698e21-9fff-408c-b453-7568844b6edf,"Scott Pines, Delhi","Ryan Squares, Delhi",2025-02-07 22:53:54,4,Cancelled,Microsoft,No
c5e56ebd-639e-438d-8ec5-f108a11696b4,"Allen Cliffs, Delhi","Taylor Plaza, Delhi",2025-02-14 17:16:14,2,Completed,Google,No
0470384f-e7bf-4cd6-b130-0ee4955e1860,"Schwartz Falls, Delhi","Danielle Shores, Delhi",2025-02-02 07:45:40,1,Cancelled,Amazon,No
de7c453b-63c7-463c-bc4b-6ed8d5b54c95,"Marshall Spur, Delhi","Joshua Roads, Delhi",2025-02-07 07:47:04,1,Ongoing,Microsoft,No
23d90f98-7b98-4ecb-b72d-a000902c1698,"Michael Stream, Delhi","Thomas Ridges, Delhi",2025-02-06 12:58:37,2,Ongoing,Infosys,Yes
658a7d2f-eba0-4122-bb6b-714730ee1a4d,"Young Rapids, Delhi","Stephanie Plains, Delhi",2025-02-01 08:59:49,1,Ongoing,None,Yes
68952ce6-973d-4b2f-90d2-61a88facd242,"Davis Parks, Delhi","Johns Mews, Delhi",2025-02-08 04:47:47,2,Completed,Infosys,No
